Field,Data element,Description,Key Field,Checktable,Datatype,Length,Decimals,Possible values
MATNR,MATNR,Material Number,X,,CHAR,18,0,
ERSDA,ERSDA,Created On,,,DATS,8,0,
ERNAM,ERNAM,Name of Person who Created the Object,,,CHAR,12,0,
LAEDA,LAEDA,Date of Last Change,,,DATS,8,0,
AENAM,AENAM,Name of Person Who Changed Object,,,CHAR,12,0,
VPSTA,VPSTA,Maintenance status of complete material,,,CHAR,15,0,
PSTAT,PSTAT_D,Maintenance status,,,CHAR,15,0,
LVORM,LVOMA,Flag Material for Deletion at Client Level,,,CHAR,1,0,Possible values
MTART,MTART,Material Type,,T134,CHAR,4,0,
MBRSH,MBRSH,Industry sector,,T137,CHAR,1,0,
MATKL,MATKL,Material Group,,T023,CHAR,9,0,
BISMT,BISMT,Old material number,,,CHAR,18,0,
MEINS,MEINS,Base Unit of Measure,,T006,UNIT,3,0,
BSTME,BSTME,Purchase Order Unit of Measure,,T006,UNIT,3,0,
ZEINR,DZEINR,Document number (without document management system),,,CHAR,22,0,
ZEIAR,DZEIAR,Document type (without Document Management system),,,CHAR,3,0,
ZEIVR,DZEIVR,Document version (without Document Management system),,,CHAR,2,0,
ZEIFO,DZEIFO,Page format of document (without Document Management system),,,CHAR,4,0,
AESZN,AESZN,Document change number (without document management system),,,CHAR,6,0,
BLATT,BLATT,Page number of document (without Document Management system),,,CHAR,3,0,
BLANZ,BLANZ,Number of sheets (without Document Management system),,,NUMC,3,0,
FERTH,FERTH,Production/inspection memo,,,CHAR,18,0,
FORMT,FORMT,Page Format of Production Memo,,,CHAR,4,0,
GROES,GROES,Size/dimensions,,,CHAR,32,0,
WRKST,WRKST,Basic Material,,TWSPR,CHAR,48,0,
NORMT,NORMT,Industry Standard Description (such as ANSI or ISO),,,CHAR,18,0,
LABOR,LABOR,Laboratory/design office,,T024L,CHAR,3,0,
EKWSL,EKWSL,Purchasing Value Key,,T405,CHAR,4,0,
BRGEW,BRGEW,Gross Weight,,,QUAN,13,3,
NTGEW,NTGEW,Net Weight,,,QUAN,13,3,
GEWEI,GEWEI,Weight Unit,,T006,UNIT,3,0,
VOLUM,VOLUM,Volume,,,QUAN,13,3,
VOLEH,VOLEH,Volume unit,,T006,UNIT,3,0,
BEHVO,BEHVO,Container requirements,,T144,CHAR,2,0,
RAUBE,RAUBE,Storage conditions,,T142,CHAR,2,0,
TEMPB,TEMPB,Temperature conditions indicator,,T143,CHAR,2,0,
DISST,DISST,Low-Level Code,,,CHAR,3,0,
TRAGR,TRAGR,Transportation Group,,TTGR,CHAR,4,0,
STOFF,STOFF,Hazardous material number,,MGEF,CHAR,18,0,
SPART,SPART,Division,,TSPA,CHAR,2,0,
KUNNR,WETTB,Competitor,,V_KNA1WETT,CHAR,10,0,
EANNR,EANNR,European Article Number (EAN) - obsolete!!!!!,,,CHAR,13,0,
WESCH,WESCH,Quantity: Number of GR/GI slips to be printed,,,QUAN,13,3,
BWVOR,BWVOR,Procurement rule,,T6WP1,CHAR,1,0,
BWSCL,BWSCL,Source of Supply,,TMBW1,CHAR,1,0,
SAISO,SAISO,Season Category,,T6WSP,CHAR,4,0,
ETIAR,ETIAR,Label type,,T6WP3,CHAR,2,0,
ETIFO,ETIFO,Label form,,T6WP4,CHAR,2,0,
ENTAR,DUMMYENTAR,Deactivated,,,CHAR,1,0,
EAN11,EAN11,International Article Number (EAN/UPC),,,CHAR,18,0,
NUMTP,NUMTP,Category of International Article Number (EAN),,TNTP,CHAR,2,0,
LAENG,LAENG,Length,,,QUAN,13,3,
BREIT,BREIT,Width,,,QUAN,13,3,
HOEHE,HOEHE,Height,,,QUAN,13,3,
MEABM,MEABM,Unit of Dimension for Length/Width/Height,,T006,UNIT,3,0,
PRDHA,PRODH_D,Product hierarchy,,T179,CHAR,18,0,
AEKLK,CK_AEKLK,Stock Transfer Net Change Costing,,,CHAR,1,0,Possible values
CADKZ,CADKZ,CAD Indicator,,,CHAR,1,0,Possible values
QMPUR,QMPUR,QM in Procurement is Active,,,CHAR,1,0,Possible values
ERGEW,ERGEW,Allowed packaging weight,,,QUAN,13,3,
ERGEI,ERGEI,Unit of weight (allowed packaging weight),,T006,UNIT,3,0,
ERVOL,ERVOL,Allowed packaging volume,,,QUAN,13,3,
ERVOE,ERVOE,Volume unit (allowed packaging volume),,T006,UNIT,3,0,
GEWTO,GEWTO,Excess Weight Tolerance for Handling unit,,,DEC,3,1,
VOLTO,VOLTO,Excess Volume Tolerance of the Handling Unit,,,DEC,3,1,
VABME,VABME,Variable Purchase Order Unit Active,,,CHAR,1,0,Possible values
